video_id,youtube_url
4u7UUN3nxyg,https://www.youtube.com/watch?v=4u7UUN3nxyg
4w7KLPZXEQg,https://www.youtube.com/watch?v=4w7KLPZXEQg
4zkp4VTFvAE,https://www.youtube.com/watch?v=4zkp4VTFvAE
5-XbMTY30Qc,https://www.youtube.com/watch?v=5-XbMTY30Qc
52U48xsfGHw,https://www.youtube.com/watch?v=52U48xsfGHw
5583g8ae4Ys,https://www.youtube.com/watch?v=5583g8ae4Ys
5DP1FeRCA-U,https://www.youtube.com/watch?v=5DP1FeRCA-U
5EYND0RKuZ0,https://www.youtube.com/watch?v=5EYND0RKuZ0
5HDZXcr-oro,https://www.youtube.com/watch?v=5HDZXcr-oro
5K1oOlB5h8Q,https://www.youtube.com/watch?v=5K1oOlB5h8Q
5PhF04aB7VU,https://www.youtube.com/watch?v=5PhF04aB7VU
5R4-ZOdO2Oc,https://www.youtube.com/watch?v=5R4-ZOdO2Oc
5VenPCFCShU,https://www.youtube.com/watch?v=5VenPCFCShU
5YJ8YHzETxs,https://www.youtube.com/watch?v=5YJ8YHzETxs
5_fSBMCo-Q8,https://www.youtube.com/watch?v=5_fSBMCo-Q8
5clAuLTAuls,https://www.youtube.com/watch?v=5clAuLTAuls
5ibNbbEkelU,https://www.youtube.com/watch?v=5ibNbbEkelU
5jNiwwj8dZs,https://www.youtube.com/watch?v=5jNiwwj8dZs
5k_6jHgUSnM,https://www.youtube.com/watch?v=5k_6jHgUSnM
5l-X6Q10b_k,https://www.youtube.com/watch?v=5l-X6Q10b_k
5mWZLDJ9Gro,https://www.youtube.com/watch?v=5mWZLDJ9Gro
5t5O2r4GYO0,https://www.youtube.com/watch?v=5t5O2r4GYO0
63ZiaPm8j9Q,https://www.youtube.com/watch?v=63ZiaPm8j9Q
66-X-4gbP5k,https://www.youtube.com/watch?v=66-X-4gbP5k
66Lf-Bf66Io,https://www.youtube.com/watch?v=66Lf-Bf66Io
67sqj-FZUcc,https://www.youtube.com/watch?v=67sqj-FZUcc
69SViXfWbWo,https://www.youtube.com/watch?v=69SViXfWbWo
6Ag-8zz--WQ,https://www.youtube.com/watch?v=6Ag-8zz--WQ
6B1TLvhl2oc,https://www.youtube.com/watch?v=6B1TLvhl2oc
6DcRd6L85IM,https://www.youtube.com/watch?v=6DcRd6L85IM
6I2w7eV03wU,https://www.youtube.com/watch?v=6I2w7eV03wU
6IoOcn2QVhU,https://www.youtube.com/watch?v=6IoOcn2QVhU
6NsuFpPVYeI,https://www.youtube.com/watch?v=6NsuFpPVYeI
6OXF5WV-kIo,https://www.youtube.com/watch?v=6OXF5WV-kIo
6QKB8XnVUpo,https://www.youtube.com/watch?v=6QKB8XnVUpo
6QQCuLgcqDo,https://www.youtube.com/watch?v=6QQCuLgcqDo
6QXupezqnfY,https://www.youtube.com/watch?v=6QXupezqnfY
6Q_rji4VJaU,https://www.youtube.com/watch?v=6Q_rji4VJaU
6Z0wSPuXT_0,https://www.youtube.com/watch?v=6Z0wSPuXT_0
6_JXdgQUOsE,https://www.youtube.com/watch?v=6_JXdgQUOsE
6fpwTudT17g,https://www.youtube.com/watch?v=6fpwTudT17g
6frDYHNqc0Q,https://www.youtube.com/watch?v=6frDYHNqc0Q
6mHvmCuXCIY,https://www.youtube.com/watch?v=6mHvmCuXCIY
6oosrsfiLJE,https://www.youtube.com/watch?v=6oosrsfiLJE
6uQyBGZf6Yo,https://www.youtube.com/watch?v=6uQyBGZf6Yo
6z4HpIyf4MM,https://www.youtube.com/watch?v=6z4HpIyf4MM
70xG35USajk,https://www.youtube.com/watch?v=70xG35USajk
72ckg0ZOUoo,https://www.youtube.com/watch?v=72ckg0ZOUoo
76tt6qk49vc,https://www.youtube.com/watch?v=76tt6qk49vc
78F2m5RCyvQ,https://www.youtube.com/watch?v=78F2m5RCyvQ
7APpZTWdSh8,https://www.youtube.com/watch?v=7APpZTWdSh8
7CN1OzZnW_U,https://www.youtube.com/watch?v=7CN1OzZnW_U
7JT3GjUuew0,https://www.youtube.com/watch?v=7JT3GjUuew0
7Nttn9LRjoc,https://www.youtube.com/watch?v=7Nttn9LRjoc
7SDvT7VBsGc,https://www.youtube.com/watch?v=7SDvT7VBsGc
7Tl-usWkhxU,https://www.youtube.com/watch?v=7Tl-usWkhxU
7_6BbyZOQtw,https://www.youtube.com/watch?v=7_6BbyZOQtw
7_Jl7HN4mB4,https://www.youtube.com/watch?v=7_Jl7HN4mB4
7eEUCYhFxeo,https://www.youtube.com/watch?v=7eEUCYhFxeo
7hIJjD5a90Y,https://www.youtube.com/watch?v=7hIJjD5a90Y
7pR6g8SgvR0,https://www.youtube.com/watch?v=7pR6g8SgvR0
7s67L5HGw3I,https://www.youtube.com/watch?v=7s67L5HGw3I
7udM85-3thQ,https://www.youtube.com/watch?v=7udM85-3thQ
7uun9IKsssg,https://www.youtube.com/watch?v=7uun9IKsssg
7x5Y-x2Xkac,https://www.youtube.com/watch?v=7x5Y-x2Xkac
7yjbPSJ6pZI,https://www.youtube.com/watch?v=7yjbPSJ6pZI
85QNMMnQSAs,https://www.youtube.com/watch?v=85QNMMnQSAs
86Zln5yOU24,https://www.youtube.com/watch?v=86Zln5yOU24
8A0AzLc2FKg,https://www.youtube.com/watch?v=8A0AzLc2FKg
8MM1w41h_G8,https://www.youtube.com/watch?v=8MM1w41h_G8
8PJjfdg98xw,https://www.youtube.com/watch?v=8PJjfdg98xw
8RFPpdKdJgk,https://www.youtube.com/watch?v=8RFPpdKdJgk
8UJsT1XAY4I,https://www.youtube.com/watch?v=8UJsT1XAY4I
8WYaIFzG2a4,https://www.youtube.com/watch?v=8WYaIFzG2a4
8XsYJ8S-ydc,https://www.youtube.com/watch?v=8XsYJ8S-ydc
8Ywn0el-rXU,https://www.youtube.com/watch?v=8Ywn0el-rXU
8aRlGsjtdbQ,https://www.youtube.com/watch?v=8aRlGsjtdbQ
8bGI9dZ1mzs,https://www.youtube.com/watch?v=8bGI9dZ1mzs
8bIvKJgNp2Q,https://www.youtube.com/watch?v=8bIvKJgNp2Q
8c7IdHtZt_g,https://www.youtube.com/watch?v=8c7IdHtZt_g
8cIfn7RPDys,https://www.youtube.com/watch?v=8cIfn7RPDys
