channel_id,video_id,channel_name,duration(sec),domain,link
UCu5_9xekpXOIlyqRHWqOd_Q,7y3RKiDRvKM,Nagorik TV,534,Political Talk,https://www.youtube.com/watch?v=7y3RKiDRvKM
UCu5_9xekpXOIlyqRHWqOd_Q,OXlcmyNvgeA,Nagorik TV,509,Political Talk,https://www.youtube.com/watch?v=OXlcmyNvgeA
UCTSvHZkOStz5Ak2J_q6YRlA,PIIE51Tlp54,Boishakhi TV,148,News Presentation,https://www.youtube.com/watch?v=PIIE51Tlp54
UCUbtdbJRpaXiUI_IlBOvPpA,RwDc78A7wM8,Pinaki Bhattacharya,1781,Political Analysis / Opinion,https://www.youtube.com/watch?v=RwDc78A7wM8
UCUbtdbJRpaXiUI_IlBOvPpA,1jIWH-IqBoU,Pinaki Bhattacharya,1228,Political Analysis / Opinion,https://www.youtube.com/watch?v=1jIWH-IqBoU
UCUbtdbJRpaXiUI_IlBOvPpA,K6DqZM3EREk,Pinaki Bhattacharya,989,Political Analysis / Opinion,https://www.youtube.com/watch?v=K6DqZM3EREk
UCUbtdbJRpaXiUI_IlBOvPpA,pJuHCyI1bHg,Pinaki Bhattacharya,930,Political Analysis / Opinion,https://www.youtube.com/watch?v=pJuHCyI1bHg
UCUbtdbJRpaXiUI_IlBOvPpA,iFBCR5jjuXc,Pinaki Bhattacharya,1281,Political Analysis / Opinion,https://www.youtube.com/watch?v=iFBCR5jjuXc
UClURnTgQiQpldGhtD4Fc7JQ,Pt5vJe2z9m8,Elias Hossain,120,Political Commentary / Analysis,https://www.youtube.com/watch?v=Pt5vJe2z9m8
UClURnTgQiQpldGhtD4Fc7JQ,aTQqMBWd-58,Elias Hossain,83,Political Commentary / Analysis,https://www.youtube.com/watch?v=aTQqMBWd-58
UClURnTgQiQpldGhtD4Fc7JQ,pLNgjNqFerg,Elias Hossain,486,Political Commentary / Analysis,https://www.youtube.com/watch?v=pLNgjNqFerg
UClURnTgQiQpldGhtD4Fc7JQ,HsUPJ2UgSIo,Elias Hossain,1357,Political Commentary / Analysis,https://www.youtube.com/watch?v=HsUPJ2UgSIo
UClURnTgQiQpldGhtD4Fc7JQ,tWuy1b6YFnI,Elias Hossain,830,Political Commentary / Analysis,https://www.youtube.com/watch?v=tWuy1b6YFnI
UCt0CuBEsH6mAjSUaH2jCCow,Fz2wlDBKVN0,As-Sunnah Foundation,1713,Waz / Islamic Sermon,https://www.youtube.com/watch?v=Fz2wlDBKVN0
UCt0CuBEsH6mAjSUaH2jCCow,hQILAR55rtY,As-Sunnah Foundation,2114,Waz / Islamic Sermon,https://www.youtube.com/watch?v=hQILAR55rtY
UCt0CuBEsH6mAjSUaH2jCCow,fY7VFSYJt-A,As-Sunnah Foundation,410,Waz / Islamic Sermon,https://www.youtube.com/watch?v=fY7VFSYJt-A
UCt0CuBEsH6mAjSUaH2jCCow,HmmBMAih_o8,As-Sunnah Foundation,2004,Waz / Islamic Sermon,https://www.youtube.com/watch?v=HmmBMAih_o8
UCt0CuBEsH6mAjSUaH2jCCow,vqYqU4xaps0,As-Sunnah Foundation,1695,Waz / Islamic Sermon,https://www.youtube.com/watch?v=vqYqU4xaps0
UC4TirhUjxScWpuLyPQxph7w,wbXEYv5C2_8,Islamic Waz HD TV,428,Waz,https://www.youtube.com/watch?v=wbXEYv5C2_8
UC4TirhUjxScWpuLyPQxph7w,-Qxp7KVTMpg,Islamic Waz HD TV,3671,Waz,https://www.youtube.com/watch?v=-Qxp7KVTMpg
UC4TirhUjxScWpuLyPQxph7w,zufNXsMP7rc,Islamic Waz HD TV,3761,Waz,https://www.youtube.com/watch?v=zufNXsMP7rc
UC4TirhUjxScWpuLyPQxph7w,8UJsT1XAY4I,Islamic Waz HD TV,3024,Waz,https://www.youtube.com/watch?v=8UJsT1XAY4I
UC4TirhUjxScWpuLyPQxph7w,DAdUVv-wzrc,Islamic Waz HD TV,3934,Waz,https://www.youtube.com/watch?v=DAdUVv-wzrc
UCRLUeitwQEmenr8O5e8Fj9Q,CchOiCCtF5M,Islamic TV Bangla,3152,Waz / Islamic Programs,https://www.youtube.com/watch?v=CchOiCCtF5M
